Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
54137677,06/01/2012 12:00:00 AM,05/11/2022 01:17:00 PM,DSNY,Department of Sanitation,Adopt-A-Basket,Adopt-A-Basket,Sidewalk,,227-11 LINDEN BLVD,LINDEN BLVD,,,,,ADDRESS,,,,Closed,,04/14/2021 12:00:00 AM,0 Unspecified,Unspecified,,,Unspecified,Unspecified,,,,,,,,,,
54290649,06/01/2012 12:00:00 AM,05/26/2022 09:19:00 AM,DSNY,Department of Sanitation,Adopt-A-Basket,Adopt-A-Basket,Sidewalk,10001,831 6 AVENUE,6 AVENUE,,,,,ADDRESS,NEW YORK,,,Closed,,03/13/2021 12:00:00 AM,05 MANHATTAN,MANHATTAN,986980,211272,Unspecified,MANHATTAN,,,,,,,,40.74656899387834,-73.99014750376273,"(40.74656899387834, -73.99014750376273)"
57701904,06/01/2012 12:00:00 AM,05/24/2023 09:57:00 AM,DSNY,Department of Sanitation,Adopt-A-Basket,Adopt-A-Basket,Sidewalk,10016,118 LEXINGTON AVENUE,LEXINGTON AVENUE,,,,,ADDRESS,NEW YORK,,,Closed,,03/10/2021 12:00:00 AM,05 MANHATTAN,MANHATTAN,989090,209810,Unspecified,MANHATTAN,,,,,,,,40.74255526662045,-73.98253362299846,"(40.74255526662045, -73.98253362299846)"
23334322,06/01/2012 12:01:00 AM,06/20/2012 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,11236,946 EAST 95 STREET,EAST 95 STREET,FOSTER AVENUE,FARRAGUT ROAD,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/20/2012 12:00:00 PM,18 BROOKLYN,BROOKLYN,1010103,174863,Unspecified,BROOKLYN,,,,,,,,40.646597452449186,-73.90683700426824,"(40.646597452449186, -73.90683700426824)"
23337528,06/01/2012 12:01:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Missed Collection (All Materials),1RG Missed Recycling Paper,Sidewalk,11211,408 BROADWAY,BROADWAY,DIVISION AVENUE,NYCTA SUBWAY,,,ADDRESS,BROOKLYN,,DSNY Garage,Closed,,06/01/2012 12:00:00 PM,01 BROOKLYN,BROOKLYN,997017,196837,Unspecified,BROOKLYN,,,,,,,,40.70693964383996,-73.95395163173359,"(40.70693964383996, -73.95395163173359)"
23344068,06/01/2012 12:25:00 AM,06/02/2012 12:00:00 PM,DSNY,Department of Sanitation,Overflowing Litter Baskets,6 Overflowing Litter Baskets,Sidewalk,11362,,,,,DOUGLASTON PARKWAY,61 AVENUE,INTERSECTION,LITTLE NECK,,DSNY Garage,Closed,,06/02/2012 12:00:00 PM,11 QUEENS,QUEENS,1056454,214728,Unspecified,QUEENS,,,,,,,,40.75576044704198,-73.73938137425728,"(40.75576044704198, -73.73938137425728)"
23338280,06/01/2012 12:31:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Missed Collection (All Materials),1RB Missed Recycling - M/G/Pl,Sidewalk,11368,37-68 97 STREET,97 STREET,37 AVENUE,38 AVENUE,,,ADDRESS,CORONA,,N/A,Closed,,06/01/2012 12:00:00 PM,03 QUEENS,QUEENS,1020479,212762,Unspecified,QUEENS,,,,,,,,40.75058487289537,-73.8692425875799,"(40.75058487289537, -73.8692425875799)"
23339200,06/01/2012 12:31:00 AM,06/02/2012 12:00:00 PM,DSNY,Department of Sanitation,Missed Collection (All Materials),1 Missed Collection,Sidewalk,10462,2120 EAST TREMONT AVENUE,EAST TREMONT AVENUE,DOGWOOD DRIVE,ELM DRIVE,,,ADDRESS,BRONX,,DSNY Garage,Closed,,06/02/2012 12:00:00 PM,09 BRONX,BRONX,1023690,246069,Unspecified,BRONX,,,,,,,,40.84198967765606,-73.85745787896379,"(40.84198967765606, -73.85745787896379)"
23341089,06/01/2012 12:31:00 AM,06/16/2012 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E1 Improper Disposal,Sidewalk,11233,1702 PARK PLACE,PARK PLACE,RALPH AVENUE,HOWARD AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/16/2012 12:00:00 PM,16 BROOKLYN,BROOKLYN,1006160,184049,Unspecified,BROOKLYN,,,,,,,,40.67182162363312,-73.92101600974546,"(40.67182162363312, -73.92101600974546)"
23345674,06/01/2012 01:01:00 AM,06/14/2012 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,11414,96-30 155 AVENUE,155 AVENUE,BRIDGETON STREET,COHANCY STREET,,,ADDRESS,HOWARD BEACH,,N/A,Closed,,06/14/2012 12:00:00 PM,10 QUEENS,QUEENS,1029768,181806,Unspecified,QUEENS,,,,,,,,40.665575195032666,-73.83592614299552,"(40.665575195032666, -73.83592614299552)"
23338760,06/01/2012 01:20:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,10014,110 BANK STREET,BANK STREET,GREENWICH STREET,WASHINGTON STREET,,,ADDRESS,NEW YORK,,DSNY Garage,Closed,,06/01/2012 12:00:00 PM,02 MANHATTAN,MANHATTAN,982258,207546,Unspecified,MANHATTAN,,,,,,,,40.73634224868434,-74.00718797076777,"(40.73634224868434, -74.00718797076777)"
23339215,06/01/2012 01:35:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Collection Truck Noise,21 Collection Truck Noise,Sidewalk,10002,,,,,CLINTON STREET,EAST BROADWAY,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,06/01/2012 12:00:00 PM,03 MANHATTAN,MANHATTAN,987808,199520,Unspecified,MANHATTAN,,,,,,,,40.714312336886195,-73.98716548836047,"(40.714312336886195, -73.98716548836047)"
23344762,06/01/2012 03:46:00 AM,06/05/2012 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E1 Improper Disposal,Sidewalk,11208,293 ARLINGTON AVENUE,ARLINGTON AVENUE,LINWOOD STREET,ESSEX STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/05/2012 12:00:00 PM,05 BROOKLYN,BROOKLYN,1016504,187402,Unspecified,BROOKLYN,,,,,,,,40.68099320077098,-73.88371061642692,"(40.68099320077098, -73.88371061642692)"
23339103,06/01/2012 04:01:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Other Enforcement,E10 Obstruction (Street/Sidewalk),Sidewalk,11204,1933 60 STREET,60 STREET,19 AVENUE,20 AVENUE,,,ADDRESS,BROOKLYN,,DSNY Garage,Closed,,06/01/2012 12:00:00 PM,12 BROOKLYN,BROOKLYN,988624,165238,Unspecified,BROOKLYN,,,,,,,,40.620215524011236,-73.98424423441143,"(40.620215524011236, -73.98424423441143)"
23340251,06/01/2012 06:05:00 AM,06/25/2012 12:00:00 PM,DSNY,Department of Sanitation,Vacant Lot,8 Request to Clean Vacant Lot,Lot,10001,101 WEST 28 STREET,WEST 28 STREET,AVENUE OF THE AMERICAS,7 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,,06/25/2012 12:00:00 PM,05 MANHATTAN,MANHATTAN,986760,211147,Unspecified,MANHATTAN,,,,,,,,40.74622596542436,-73.99094152446328,"(40.74622596542436, -73.99094152446328)"
23339155,06/01/2012 06:22:00 AM,06/16/2012 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E5 Loose Rubbish,Sidewalk,11205,45 CUMBERLAND STREET,CUMBERLAND STREET,FLUSHING AVENUE,PARK AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/16/2012 12:00:00 PM,02 BROOKLYN,BROOKLYN,991311,193125,Unspecified,BROOKLYN,,,,,,,,40.69675746733351,-73.97453608048261,"(40.69675746733351, -73.97453608048261)"
23344555,06/01/2012 06:25:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Literature Request,INDOOR COMPOSTING WITH A WORM BIN,Other,10019,,,,,,,ADDRESS,NEW YORK,,N/A,Closed,,06/01/2012 06:55:00 AM,05 MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,,,,,,,,,,
23342704,06/01/2012 06:25:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Literature Request,RECYCLING CHECKLIST FLYER E/S,Other,10019,,,,,,,ADDRESS,NEW YORK,,N/A,Closed,,06/01/2012 06:55:00 AM,05 MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,,,,,,,,,,
