Complaint Type,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Abandoned Bike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,9.0,4.0
Adopt-A-Basket,0.0,10.0,20.0,9.0,3.0,1.0,0.0,2.0,7.0,1.0,1.0
Collection Truck Noise,2.0,3.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
Commercial Disposal Complaint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,15.0,20.0
Dead Animal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,49.0,80.0,47.0
Derelict Bicycle,1.0,1.0,0.0,1.0,3.0,3.0,1.0,6.0,0.0,0.0,0.0
Derelict Vehicles,119.0,165.0,191.0,167.0,233.0,316.0,281.0,442.0,493.0,501.0,271.0
Dirty Condition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,512.0,519.0,712.0
Dirty Conditions,225.0,220.0,254.0,283.0,391.0,283.0,262.0,492.0,0.0,0.0,0.0
Dumpster Complaint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,17.0
Electronics Waste Appointment,0.0,0.0,0.0,0.0,0.0,16.0,30.0,0.0,0.0,0.0,0.0
Graffiti,345.0,143.0,302.0,526.0,321.0,385.0,70.0,25.0,117.0,203.0,135.0
Illegal Dumping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,317.0,406.0,375.0
Illegal Posting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
Incorrect Data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Institution Disposal Complaint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Literature Request,158.0,80.0,74.0,76.0,13.0,24.0,0.0,0.0,0.0,0.0,0.0
Litter Basket / Request,34.0,19.0,16.0,35.0,67.0,44.0,17.0,14.0,0.0,0.0,0.0
Litter Basket Complaint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,4.0,14.0
Litter Basket Request,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,55.0,37.0,34.0
Lot Condition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,17.0,9.0
Missed Collection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,262.0,244.0,119.0
Missed Collection (All Materials),57.0,50.0,57.0,116.0,232.0,304.0,151.0,155.0,0.0,0.0,0.0
Obstruction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,83.0,92.0,82.0
Other Enforcement,29.0,37.0,39.0,57.0,57.0,68.0,47.0,61.0,0.0,0.0,0.0
Overflowing Litter Baskets,8.0,11.0,7.0,9.0,14.0,17.0,11.0,17.0,0.0,0.0,0.0
Recycling Basket Complaint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Recycling Enforcement,2.0,1.0,0.0,5.0,2.0,7.0,8.0,1.0,0.0,0.0,0.0
Request Large Bulky Item Collection,0.0,0.0,0.0,154.0,384.0,487.0,613.0,685.0,92.0,0.0,0.0
Request Xmas Tree Collection,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential Disposal Complaint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,77.0,80.0,53.0
Sanitation Condition,219.0,247.0,288.0,294.0,487.0,523.0,351.0,270.0,0.0,0.0,0.0
Sanitation Worker or Vehicle Complaint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,34.0,19.0
Seasonal Collection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
Snow,80.0,85.0,30.0,55.0,15.0,7.0,17.0,33.0,0.0,0.0,0.0
Snow Removal,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0
Snow or Ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,23.0
Storm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Street Sweeping Complaint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,127.0,161.0,119.0
Sweeping/Inadequate,0.0,1.0,6.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0
Sweeping/Missed,3.0,3.0,9.0,6.0,6.0,17.0,5.0,14.0,0.0,0.0,0.0
Vacant Lot,22.0,15.0,23.0,22.0,24.0,23.0,19.0,22.0,0.0,0.0,0.0
Vendor Enforcement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,143.0
