MONTH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED
1991 / 04,11,5817.8,,
1991 / 05,11,6242.6,,
1991 / 05,01,2279.0,,
1991 / 06,16,1140.9,,
1991 / 07,09,3780.7,,
1991 / 08,05,5483.5,,
1991 / 08,16,2468.3,,
1991 / 08,09,3889.1,,
1991 / 09,03,4644.9,,
1991 / 10,04,3588.3,,
1991 / 10,01,5411.9,,
1991 / 10,12,6274.7,,
1991 / 11,05,5221.7,,
1991 / 11,15,6601.4,,
1991 / 11,01,5205.2,,
1991 / 11,13,2595.6,,
1992 / 01,14,5243.3,,
1992 / 02,01,4703.5,,
1992 / 02,07,3315.2,,
1992 / 03,15,6202.3,,
1992 / 04,18,6325.4,,
1992 / 04,03,4532.6,,
1992 / 05,02,2870.3,,
1992 / 05,18,6975.7,,
1992 / 05,13,2514.0,,
1992 / 05,12,6113.7,,
1992 / 06,01,5572.2,,
1992 / 07,07,4134.4,,
1992 / 07,03,5181.4,,
1992 / 07,13,2787.9,,
1992 / 07,04,3668.8,,
1992 / 08,17,6367.0,,
1992 / 08,05,5510.5,,
1992 / 08,16,2497.2,,
1992 / 09,18,6707.3,,
1992 / 09,17,6226.9,,
1992 / 09,10,3467.0,,
1992 / 09,06,3246.6,,
1992 / 10,16,2414.2,,
1992 / 10,07,3816.2,,
1992 / 11,03,4565.1,,
1992 / 11,06,3252.7,,
1992 / 12,10,3575.4,,
1992 / 12,08,3527.3,,
1992 / 12,16,2529.7,,
1993 / 01,16,2320.0,,
1993 / 01,02,2759.0,,
1993 / 02,02,2330.8,,
1993 / 02,14,4479.8,,
1993 / 03,12,6786.4,,
1993 / 03,08,3342.4,,
1993 / 04,02,2763.3,8.9,11.8
1993 / 04,06,3279.2,57.6,29.0
1993 / 04,13,2667.6,,8.4
1993 / 04,14,5549.2,,
1993 / 05,04,3310.0,,
1993 / 05,14,5279.0,,
1993 / 06,11,6100.8,503.5,302.7
1993 / 07,01,4167.8,241.9,342.6
1993 / 08,17,5527.5,307.1,314.8
1993 / 08,04,3010.7,101.9,224.9
1993 / 08,07,3087.7,273.0,269.4
1993 / 09,18,5717.8,761.5,403.7
1993 / 09,03,4506.6,183.7,279.8
1993 / 09,15,6586.0,681.9,326.8
1993 / 10,10,3201.7,557.7,288.3
1993 / 11,12,5732.5,534.2,383.5
1993 / 11,10,3445.0,528.4,264.3
1993 / 11,09,3265.9,162.2,160.6
1993 / 11,07,3178.7,307.1,266.9
1994 / 01,13,2813.0,114.9,96.4
1994 / 01,11,5972.7,528.6,377.4
1994 / 01,08,2630.3,127.5,155.3
1994 / 01,14,4412.3,355.8,322.7
1994 / 02,03,3572.3,101.3,200.6
1994 / 02,13,2330.2,84.0,71.8
1994 / 03,08,3163.6,191.8,194.3
1994 / 03,03,4772.5,173.6,281.2
1994 / 03,13,2789.4,159.2,119.2
1994 / 03,02,3017.3,406.6,236.2
1994 / 04,12,5729.6,543.3,464.5
1994 / 04,18,5781.4,755.4,412.3
1994 / 05,04,3181.4,108.3,188.1
1994 / 06,01,4726.2,275.9,359.2
1994 / 06,09,3549.5,197.7,202.6
1994 / 06,18,6486.2,781.2,436.1
1994 / 06,15,6205.5,688.0,328.8
1994 / 08,14,5325.1,412.8,264.2
1994 / 08,05,5340.1,190.4,297.2
1994 / 08,01,4718.8,248.2,304.2
1994 / 09,02,2523.3,314.8,191.1
1994 / 10,09,3245.7,169.7,155.1
1994 / 11,02,2633.3,354.7,169.3
1994 / 11,06,3341.3,385.9,190.2
1994 / 12,11,4783.2,642.9,370.6
1994 / 12,13,2421.7,132.1,101.8
1994 / 12,10,3510.8,643.3,328.6
1995 / 01,11,4509.1,522.2,375.5
1995 / 01,17,4809.8,217.8,254.5
1995 / 02,17,3918.6,187.4,216.2
1995 / 02,06,2581.8,325.5,201.3
1995 / 02,18,4249.6,515.4,322.2
1995 / 02,16,1884.0,41.6,66.5
1995 / 04,03,4223.3,126.6,199.7
1995 / 04,06,2912.5,357.1,213.8
1995 / 04,01,4887.6,219.4,294.4
1995 / 05,15,5333.2,577.2,316.6
1995 / 06,08,3214.3,143.9,159.7
1995 / 07,12,4610.5,451.8,357.7
1995 / 07,15,4886.9,574.5,321.0
1995 / 07,03,4939.0,157.8,268.1
1995 / 07,10,3392.7,481.4,301.6
1995 / 08,12,4628.5,409.6,350.4
1995 / 08,14,5018.9,319.8,260.5
1995 / 08,06,2999.4,290.9,219.8
1995 / 09,03,4329.6,138.1,237.7
1995 / 09,10,3313.2,465.5,303.7
1995 / 11,14,5030.3,409.3,257.6
1995 / 11,06,3139.9,404.5,220.0
1995 / 12,10,3139.7,537.3,311.8
1995 / 12,17,4785.0,291.7,263.2
1995 / 12,15,4451.4,544.0,289.6
1996 / 01,04,3009.1,68.5,139.9
1996 / 02,17,4127.1,223.0,235.5
1996 / 02,09,2668.2,144.6,140.6
1996 / 02,11,4101.9,504.7,342.9
1996 / 03,09,3108.1,164.5,158.5
1996 / 03,01,4884.7,264.4,324.0
1996 / 03,08,2793.7,125.2,131.9
1996 / 03,16,2134.9,57.0,79.3
1996 / 03,13,2268.9,123.7,103.1
1996 / 04,07,3478.8,279.2,301.6
1996 / 05,08,3126.3,139.1,136.4
1996 / 05,01,5010.3,269.0,321.6
1996 / 05,12,5521.5,520.0,397.2
1996 / 05,05,5348.0,175.2,250.6
1996 / 06,01,4868.3,251.7,328.7
1996 / 07,08,3420.3,158.6,160.2
1996 / 08,04,3263.7,97.5,196.0
1996 / 08,10,3594.6,528.8,300.2
1996 / 09,11,4939.6,505.9,302.6
1996 / 09,13,2339.3,107.1,81.2
1996 / 10,14,5314.4,378.1,241.0
1996 / 11,14,5071.6,380.0,237.0
1996 / 11,01,4756.6,234.6,255.0
1996 / 11,18,5909.3,650.2,341.6
1996 / 11,11,4846.2,572.6,344.4
1996 / 11,17,4833.6,256.3,225.6
1996 / 11,02,2471.8,321.2,165.2
1996 / 11,04,2974.7,92.0,162.2
1996 / 12,13,2393.7,136.0,95.6
1997 / 01,09,3106.6,149.0,149.7
1997 / 01,02,2417.9,365.6,216.5
1997 / 01,16,2143.6,60.8,79.9
1997 / 01,12,5043.3,487.6,389.3
1997 / 01,08,2809.1,158.1,152.3
1997 / 02,16,1885.1,43.4,60.6
1997 / 02,07,2949.6,240.8,264.3
1997 / 02,06,2567.4,500.0,263.6
1997 / 03,16,2079.8,47.1,58.3
1997 / 04,07,3573.2,266.7,286.6
1997 / 04,05,4874.5,154.0,237.8
1997 / 05,06,3100.9,581.2,319.8
1997 / 06,17,5328.2,239.5,242.9
1997 / 07,05,5409.2,147.2,265.6
1997 / 07,09,3338.3,133.6,141.3
1997 / 08,11,4812.9,522.3,338.3
1997 / 08,06,2884.5,541.0,317.9
1997 / 09,13,2413.6,147.2,103.4
1997 / 09,01,4814.7,263.3,260.2
1997 / 09,03,4616.9,145.1,191.6
1997 / 09,12,5476.6,597.1,367.4
1997 / 09,11,4943.3,656.4,348.9
1997 / 09,16,2253.0,60.6,72.3
1997 / 10,03,4399.3,163.6,220.2
1997 / 10,05,4625.8,203.3,299.9
1997 / 10,16,2186.0,69.6,86.5
1997 / 10,10,3267.0,707.4,377.0
