MONTH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED
1991 / 03,06,2051.4,,
1991 / 05,11,3350.4,,
1991 / 06,10,2212.9,,
1991 / 06,04,4027.5,,
1991 / 07,05,4049.3,,
1991 / 08,02,1509.8,,
1991 / 09,09,5144.9,,
1991 / 09,08,3032.7,,
1991 / 09,02,1475.3,,
1991 / 10,04,4293.5,,
1991 / 11,10,2359.2,,
1991 / 12,10,2259.1,,
1991 / 12,06,2258.6,,
1992 / 02,11,3757.4,,
1992 / 02,10,2700.9,,
1992 / 02,03,1904.6,,
1992 / 03,04,4152.4,,
1992 / 05,06,2160.9,,
1992 / 06,03,2314.3,,
1992 / 06,08,3249.1,,
1992 / 07,11,3264.8,,
1992 / 07,03,2164.6,,
1992 / 10,11,3137.8,,
1992 / 10,09,5230.8,,
1992 / 11,11,3336.0,,
1992 / 11,06,2022.5,,
1993 / 02,05,3145.5,,
1993 / 03,01,2391.8,,
1993 / 05,12,4393.6,303.6,292.1
1993 / 05,05,3333.3,45.7,61.4
1993 / 06,11,3316.3,316.3,208.3
1993 / 06,06,2054.9,,
1993 / 07,07,3893.0,185.1,201.1
1993 / 07,11,3212.7,307.0,229.7
1993 / 08,08,2504.3,117.4,66.3
1993 / 08,10,2181.9,293.4,188.6
1993 / 08,09,4947.9,75.1,82.3
1993 / 09,08,2718.3,,
1993 / 10,06,1884.0,,
1993 / 11,10,2421.3,310.4,176.9
1993 / 11,06,1977.2,19.9,32.6
1993 / 12,07,3862.0,15.3,10.8
1994 / 01,02,1375.2,22.7,43.4
1994 / 02,07,3209.9,10.9,8.4
1994 / 03,12,4032.8,406.2,397.1
1994 / 03,03,2107.0,38.2,50.1
1994 / 03,09,4995.9,,
1994 / 04,08,2694.1,,
1994 / 04,03,1896.9,40.7,51.2
1994 / 05,04,3755.3,107.7,99.5
1994 / 06,10,2529.7,337.9,215.4
1994 / 06,08,2829.7,229.3,117.9
1994 / 06,05,3946.9,95.3,125.8
1994 / 07,08,2622.2,287.0,152.4
1994 / 07,02,1514.9,28.2,51.5
1994 / 09,07,3868.3,190.2,185.3
1994 / 09,11,3188.7,330.9,242.4
1994 / 09,01,2340.2,38.2,45.6
1994 / 10,10,2293.5,330.3,193.3
1994 / 10,01,2330.1,37.8,43.8
1994 / 11,10,2351.7,332.8,183.7
1994 / 11,12,4446.1,340.4,312.5
1994 / 11,04,4246.8,97.7,90.4
1994 / 12,08,2847.1,404.5,170.4
1994 / 12,07,4101.1,248.7,200.6
1994 / 12,11,3165.0,421.7,245.9
1994 / 12,03,2098.1,56.8,52.1
1995 / 01,03,2033.5,31.6,41.2
1995 / 01,01,2307.8,36.7,39.8
1995 / 02,11,2963.9,271.2,203.2
1995 / 02,09,4289.4,145.0,189.3
1995 / 03,05,3696.5,86.7,132.6
1995 / 04,07,3590.4,187.8,171.6
1995 / 04,03,1790.5,33.0,40.9
1995 / 04,11,2908.0,329.4,219.9
1995 / 05,04,4278.8,116.5,113.1
1995 / 05,01,2283.1,41.8,44.9
1995 / 05,06,2188.7,45.4,57.1
1995 / 07,08,2656.0,232.8,142.5
1995 / 07,10,2312.1,283.6,212.4
1995 / 08,05,3889.7,75.2,139.7
1995 / 08,08,2633.2,253.7,143.4
1995 / 10,07,3930.8,184.4,180.0
1995 / 10,06,2079.6,42.2,55.9
1995 / 12,09,4544.2,163.9,181.6
1995 / 12,01,2164.3,40.3,45.7
1995 / 12,07,3761.3,226.5,198.5
1995 / 12,06,1998.7,49.2,59.9
1996 / 01,09,4722.7,89.5,112.6
