MONTH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED
1990 / 08,03,3258.3,,
1990 / 10,03,3829.9,,
1990 / 10,07,3463.6,,
1990 / 11,02,3014.2,,
1990 / 11,10,3062.3,,
1990 / 12,06,4011.1,,
1991 / 01,07,6080.7,,
1991 / 01,09,3565.8,,
1991 / 01,05,1407.7,,
1991 / 03,12,6285.3,,
1991 / 03,11,3118.3,,
1991 / 03,09,3492.2,,
1991 / 04,07,5664.7,,
1991 / 04,08,5702.9,,
1991 / 04,05,1225.4,,
1991 / 04,06,3352.2,,
1991 / 05,02,3041.2,,
1991 / 06,11,3171.3,,
1991 / 07,02,2864.8,,
1991 / 07,06,3773.0,,
1991 / 08,06,3902.5,,
1991 / 08,01,695.1,,
1991 / 08,10,3348.9,,
1991 / 09,12,6541.0,,
1991 / 09,06,3867.1,,
1991 / 09,10,3132.3,,
1991 / 10,02,3050.4,,
1991 / 10,04,2096.4,,
1991 / 10,03,3973.7,,
1991 / 10,10,3207.8,,
1991 / 11,03,3911.3,,
1991 / 12,11,3355.3,,
1992 / 01,04,2181.9,,
1992 / 03,03,3845.0,,
1992 / 03,05,1352.1,,
1992 / 03,01,726.0,,
1992 / 04,03,3775.9,,
1992 / 05,02,2784.7,,
1992 / 06,10,3490.7,,
1992 / 07,04,1944.1,,
1992 / 09,10,3255.6,,
1992 / 09,04,1839.0,,
1992 / 09,05,1340.8,,
1992 / 09,06,3677.6,,
1992 / 11,02,2770.4,,
1992 / 11,04,1702.3,,
1992 / 12,03,3662.2,,
1992 / 12,04,1788.0,,
1993 / 01,06,3372.2,,
1993 / 02,10,2684.2,,
1993 / 05,11,2955.2,92.4,44.2
1993 / 05,08,5923.1,1378.4,455.2
1993 / 06,09,3353.1,180.7,104.3
1993 / 08,05,1166.2,242.4,77.2
1993 / 09,09,3252.4,225.7,134.1
1993 / 10,07,5687.3,1229.2,464.4
1993 / 11,01,625.2,119.4,34.4
1993 / 11,06,3504.4,785.3,271.1
1993 / 12,04,1807.0,296.1,138.3
1993 / 12,05,1261.5,307.6,105.9
1994 / 03,12,6421.9,343.9,284.1
1994 / 03,04,1869.5,307.6,137.9
