MONTH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED
1991 / 01,12,6201.0,,
1991 / 02,08,2646.1,,
1991 / 02,12,5335.0,,
1991 / 03,08,3146.5,,
1991 / 04,07,6303.9,,
1991 / 05,07,7121.6,,
1991 / 05,02,3223.7,,
1991 / 05,01,6393.1,,
1991 / 06,12,7342.0,,
1991 / 06,06,2773.8,,
1991 / 07,11,3493.2,,
1991 / 07,09,4381.3,,
1991 / 08,03,5146.7,,
1991 / 08,09,4268.0,,
1991 / 09,14,2805.6,,
1991 / 09,06,2804.4,,
1991 / 10,10,5064.0,,
1991 / 10,04,4403.2,,
1991 / 10,03,5025.0,,
1991 / 11,03,4856.1,,
1991 / 11,13,6812.2,,
1991 / 11,01,5919.6,,
1991 / 12,04,4315.5,,
1992 / 01,11,2871.2,,
1992 / 01,07,5614.6,,
1992 / 02,12,5553.0,,
1992 / 03,12,5973.7,,
1992 / 03,13,4990.0,,
1992 / 04,09,4308.9,,
1992 / 04,08,3552.7,,
1992 / 05,02,3060.2,,
1992 / 05,06,2961.4,,
1992 / 05,08,3890.8,,
1992 / 05,04,4463.0,,
1992 / 09,13,6245.9,,
1992 / 10,12,7261.8,,
1992 / 10,13,5980.3,,
1992 / 10,05,5872.9,,
1992 / 10,02,3024.2,,
1992 / 10,11,3466.9,,
1992 / 11,04,4320.1,,
1992 / 11,06,3046.5,,
1992 / 12,13,5775.8,,
1992 / 12,08,3427.4,,
1993 / 02,02,2490.1,,
1993 / 03,11,2840.2,,
1993 / 03,03,4613.4,,
1993 / 04,10,5050.4,,
1993 / 04,06,2952.7,72.0,31.7
1993 / 05,05,5994.0,,
1993 / 05,01,5997.4,,
1993 / 05,10,5375.7,,
1993 / 05,11,3737.7,483.2,212.7
1993 / 06,05,6287.3,,
1993 / 06,02,3359.8,,
1993 / 06,09,5158.4,,
1993 / 07,05,5798.3,,
1993 / 07,06,2926.3,455.6,196.9
1993 / 08,03,5147.7,,
