MONTH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED
1990 / 10,02,4379.5,,
1990 / 12,02,3702.7,,
1990 / 12,01,3883.6,,
1991 / 01,02,3567.4,,
1991 / 03,03,4449.7,,
1991 / 05,03,6520.0,,
1991 / 09,01,4685.2,,
1991 / 09,03,5123.1,,
1991 / 10,03,5439.5,,
1991 / 11,02,3889.2,,
1992 / 04,02,4443.7,,
1992 / 06,01,5964.8,,
1992 / 08,02,4593.7,,
1992 / 08,03,5652.1,,
1993 / 01,01,4365.3,,
1993 / 01,02,3815.3,,
1993 / 03,02,3947.2,,
1993 / 06,03,6721.9,,
1994 / 01,03,4691.0,636.7,378.2
1994 / 03,03,5151.2,1036.0,436.2
1994 / 05,02,5323.3,639.2,310.6
1994 / 05,01,5802.5,658.8,321.8
1994 / 10,01,5151.1,631.1,286.5
1994 / 10,02,4562.4,616.2,275.5
1995 / 01,01,4623.2,565.0,317.2
1995 / 07,02,4777.8,555.1,316.7
1995 / 07,01,5575.8,616.0,365.1
1995 / 08,03,5588.4,674.2,402.8
1995 / 12,01,4225.4,778.0,386.9
1996 / 02,03,3928.8,1007.9,503.2
1996 / 07,01,5835.8,677.4,419.1
1996 / 07,03,6171.9,865.4,495.7
1996 / 08,03,5994.1,857.7,474.2
1996 / 09,01,5301.4,657.4,397.3
1996 / 12,02,4020.3,792.0,364.4
1997 / 04,01,5498.5,23.7,439.5
1997 / 05,02,5185.1,,444.4
1997 / 06,01,5753.8,,452.5
1997 / 07,03,5897.8,,558.5
1997 / 12,02,4163.0,,393.7
1997 / 12,03,5458.3,,512.2
1998 / 06,01,5902.3,,626.7
1998 / 07,01,5588.4,,633.5
1998 / 09,01,5629.1,,576.2
1998 / 10,01,5262.6,,585.6
1999 / 02,03,4277.5,,492.3
1999 / 07,03,5779.8,9.7,789.0
1999 / 09,02,4922.6,,528.5
2000 / 04,03,5564.0,,699.6
2000 / 04,02,4352.3,,486.5
2000 / 05,02,5630.2,,570.4
2000 / 06,01,6192.8,,692.2
2000 / 07,02,4811.2,,552.8
2000 / 09,03,5645.7,,737.4
2000 / 12,02,3682.5,,433.4
2001 / 01,02,3886.2,,536.6
2001 / 08,02,4682.7,,577.7
2001 / 08,01,5545.3,,710.5
2001 / 11,01,5053.0,,636.6
2001 / 12,02,4491.6,,503.5
2002 / 05,02,5608.8,,562.8
2002 / 10,02,5396.9,,
2003 / 03,02,5093.0,,
2003 / 03,03,6542.9,,
2003 / 09,02,5847.1,,
2003 / 12,03,6935.3,,
2004 / 03,01,6306.4,,
2004 / 04,02,5465.6,547.5,462.2
2004 / 11,01,6005.7,953.9,513.7
2005 / 02,02,3541.3,795.6,404.2
2005 / 07,01,6745.5,875.2,621.4
2005 / 10,03,6801.2,1358.2,661.4
2006 / 01,03,5938.7,1311.2,638.4
2006 / 02,03,4605.1,999.9,530.0
2006 / 03,01,5474.8,879.8,585.7
2006 / 03,03,5907.1,1191.2,667.0
2006 / 05,03,8199.9,1265.9,701.4
2006 / 06,01,7023.4,1001.5,672.9
2006 / 07,03,7049.6,1194.5,717.0
2006 / 11,03,6373.5,1424.8,649.3
2007 / 02,03,4250.6,975.9,543.7
2007 / 02,01,4016.2,714.4,481.3
2007 / 04,02,4670.6,801.0,454.7
2007 / 05,02,5757.7,862.7,523.0
2007 / 08,01,6104.9,869.1,655.2
2008 / 01,02,4110.6,845.1,493.7
2008 / 06,03,6519.0,1090.2,654.9
2008 / 07,02,4862.8,772.0,503.7
2008 / 09,03,6076.1,1089.2,609.7
2008 / 10,02,4467.6,776.1,438.4
2009 / 04,02,4496.0,676.6,446.0
2009 / 09,01,5519.9,694.3,547.9
2009 / 10,01,5477.6,755.1,550.1
2009 / 11,03,6250.8,889.5,535.1
2010 / 07,03,5926.9,883.3,699.8
2010 / 08,01,5479.7,630.6,517.4
2010 / 12,01,3968.5,656.4,448.9
2011 / 06,02,5114.7,663.6,516.0
2011 / 08,02,5160.1,646.9,458.9
2011 / 10,02,4461.1,620.0,422.1
2011 / 12,03,5701.7,1185.0,642.7
2012 / 01,03,5004.3,862.1,615.6
2012 / 05,02,4975.0,625.0,451.0
2012 / 08,01,5515.6,619.4,554.8
2012 / 10,01,5068.2,573.9,460.3
2013 / 01,03,5241.2,987.3,629.8
2013 / 03,03,4888.2,777.7,529.7
2013 / 04,01,5585.4,610.7,518.3
2013 / 05,03,6889.9,825.3,676.6
2014 / 03,03,4964.7,740.0,539.5
2014 / 05,02,5047.8,610.8,509.3
2014 / 08,03,5525.2,739.3,638.3
2014 / 10,03,5717.0,862.6,610.3
2014 / 12,02,4441.6,738.1,499.4
2015 / 04,01,5332.6,603.5,559.0
2015 / 05,03,6531.7,761.4,659.8
2015 / 06,02,4821.1,640.3,510.9
2015 / 09,02,4246.8,575.0,481.2
2015 / 12,02,4243.2,792.5,527.3
2016 / 02,03,4428.3,807.4,618.6
2016 / 11,02,4340.9,566.6,475.8
2017 / 05,01,5719.4,654.8,722.8
2017 / 07,01,5466.4,632.7,734.5
2017 / 10,03,5549.6,710.6,643.8
2017 / 12,03,5442.1,945.7,693.0
2018 / 03,03,5082.8,788.4,630.9
2018 / 03,01,4747.6,628.3,587.7
2018 / 05,01,5934.6,636.9,682.3
2018 / 07,02,4558.1,547.5,546.8
2018 / 08,01,5559.3,647.7,689.7
2018 / 11,03,5757.3,845.8,713.4
2018 / 12,01,4993.5,729.0,648.2
2019 / 02,03,4392.4,638.3,586.1
2019 / 03,01,4515.4,572.0,616.8
2019 / 04,03,6037.6,716.8,716.2
2019 / 06,02,4520.3,576.8,564.4
2019 / 07,02,4784.8,571.6,581.0
2019 / 08,03,5757.2,731.6,756.4
2019 / 09,02,4239.6,502.6,501.0
2020 / 01,02,3946.9,586.0,534.8
2020 / 05,01,6495.4,651.4,925.8
2020 / 07,03,6772.4,900.7,960.4
2020 / 08,02,5021.5,533.7,710.5
2021 / 02,01,4009.7,480.9,563.4
2021 / 08,01,6146.0,607.5,727.8
2021 / 11,01,5927.5,562.3,646.9
2022 / 01,03,4787.7,692.9,619.0
2022 / 04,03,5763.9,713.1,674.1
2022 / 04,01,5284.9,568.0,689.4
2022 / 09,02,4319.9,478.7,500.1
2022 / 10,02,4314.3,470.1,474.6
2022 / 11,01,5260.1,509.0,604.2
2022 / 11,03,5604.3,647.5,599.0
2022 / 12,01,5109.1,684.4,704.9
2023 / 04,03,5398.5,599.2,614.6
2023 / 08,02,4393.3,473.0,501.5
1991 / 07,01,4897.1,,
1991 / 12,02,3988.9,,
1992 / 01,03,4624.1,,
1992 / 07,01,5708.1,,
1992 / 11,01,4638.0,,
1993 / 03,01,4478.1,,
1993 / 03,03,4951.3,,
1993 / 07,01,4909.8,,29.6
1993 / 09,01,4843.6,,
1993 / 09,03,5701.7,54.7,28.9
1994 / 01,01,4266.2,468.2,316.9
1994 / 07,03,5676.9,751.4,411.2
1994 / 07,01,5238.5,643.6,351.4
1994 / 09,02,4644.4,615.5,293.9
1995 / 03,02,4177.8,622.1,315.8
1995 / 05,02,5471.9,646.4,324.0
1995 / 06,02,5102.2,601.7,335.7
1995 / 10,01,5324.9,638.7,325.7
1995 / 11,02,3976.6,694.8,355.7
1995 / 12,03,4485.8,980.9,459.6
1996 / 02,01,3919.6,798.4,449.4
1996 / 03,03,4749.8,956.5,485.1
1996 / 04,02,4771.9,707.7,397.0
1996 / 05,03,6657.7,1028.4,556.9
1996 / 08,02,4629.7,638.5,368.9
1996 / 10,01,5662.8,754.8,412.3
1997 / 05,01,6226.3,,491.5
1997 / 10,01,5332.8,,467.1
1997 / 11,01,4892.5,,404.2
1998 / 03,01,4855.9,,420.9
1998 / 04,01,5602.4,,593.5
1998 / 07,03,6041.4,,648.4
1999 / 01,03,4930.3,,619.6
1999 / 02,02,3314.4,,353.1
1999 / 06,02,5328.1,,527.4
1999 / 08,02,4371.3,,497.6
1999 / 10,01,5273.6,,566.2
1999 / 11,01,4930.9,,530.5
1999 / 12,02,3994.9,,508.2
2000 / 02,01,4197.2,,527.4
2000 / 02,03,4306.0,,631.1
2000 / 04,01,5132.2,,567.4
2000 / 11,03,5059.2,,696.2
2000 / 11,01,4906.2,,593.4
2001 / 06,03,6661.8,,864.9
2001 / 07,01,5873.2,,724.1
2001 / 09,02,4459.2,,519.7
2001 / 10,02,4692.1,,571.1
2002 / 01,01,4781.1,4.3,675.9
2002 / 02,03,4313.1,,620.1
2002 / 02,02,3386.1,,450.8
2002 / 04,02,5050.1,,547.8
2002 / 04,01,6118.8,,674.4
2002 / 05,01,6675.7,,673.3
2002 / 06,02,5128.6,,563.6
2002 / 07,01,6769.5,,
2002 / 08,03,6760.2,,
2002 / 09,03,6909.0,,
2003 / 04,02,5507.8,,
2003 / 08,02,5535.0,,
2003 / 09,03,7646.1,,
2003 / 11,02,5789.1,,
2004 / 01,02,4221.8,,
2004 / 01,01,5097.9,,
2004 / 04,01,6748.2,574.2,550.4
2004 / 05,01,7381.7,898.5,543.5
2004 / 07,03,7447.5,1348.0,766.8
2004 / 08,02,5382.0,843.4,480.3
2004 / 12,03,6303.9,1597.7,650.3
2005 / 03,02,4509.7,906.5,454.8
2005 / 04,03,7383.7,1259.8,687.2
2005 / 04,01,6675.3,920.7,571.0
2005 / 06,01,7306.3,943.0,664.7
2005 / 10,02,5127.0,912.5,466.0
2006 / 02,01,4272.6,736.4,466.4
2006 / 04,01,6173.2,858.8,586.0
2007 / 01,02,4114.7,875.1,494.9
2007 / 02,02,3221.3,676.6,398.0
2007 / 05,03,7906.1,1249.3,736.5
2007 / 07,03,6608.1,1118.3,746.9
2007 / 08,03,6511.5,1181.8,724.2
2007 / 11,03,6237.9,1304.3,642.6
2008 / 02,03,4703.8,1038.8,594.1
2008 / 05,01,6120.2,859.6,566.2
2008 / 05,02,4980.7,802.3,468.6
2008 / 08,01,5387.7,758.2,530.1
2008 / 12,01,5443.4,953.6,574.5
2009 / 01,01,4336.0,802.4,573.8
2009 / 01,03,4866.4,1097.0,643.0
2009 / 05,03,6847.4,981.4,631.2
2009 / 05,02,4963.2,653.5,438.8
2009 / 05,01,6115.4,705.9,531.5
2009 / 06,01,6374.3,783.8,574.0
2009 / 09,02,4479.6,662.9,461.0
2009 / 11,02,4680.7,604.8,390.6
2010 / 02,02,2763.2,459.0,336.4
2010 / 08,03,5654.4,829.7,586.7
2011 / 02,03,4910.6,925.2,583.0
2011 / 03,01,5355.9,715.6,516.0
2011 / 05,01,6217.4,646.4,508.6
2011 / 08,01,6334.1,674.8,536.5
2011 / 12,02,4192.4,779.0,469.2
2012 / 04,02,4194.8,546.2,416.4
2012 / 08,02,4441.2,584.5,462.8
2012 / 09,03,5543.6,784.7,568.3
2012 / 11,03,7503.6,783.6,523.7
2013 / 02,03,4394.8,773.2,476.0
2013 / 06,01,5615.8,649.9,610.3
2013 / 08,03,5736.5,819.2,627.3
2013 / 11,02,4170.4,541.3,416.3
2014 / 02,02,2923.3,471.1,379.6
2014 / 03,02,3728.3,541.5,413.8
2014 / 06,02,4817.6,619.8,543.0
2014 / 08,02,4145.2,524.8,456.4
2014 / 09,02,4262.4,540.4,454.0
2015 / 01,01,4127.4,592.8,534.1
2015 / 02,03,3770.8,710.4,554.2
2015 / 04,03,5953.2,791.7,622.1
2015 / 07,01,5404.2,631.1,636.0
2015 / 12,01,5189.4,809.4,633.9
2016 / 01,03,4643.1,637.8,558.9
2016 / 03,03,5380.2,790.9,678.0
2016 / 08,03,5863.0,742.9,720.8
2016 / 11,03,5888.1,777.9,650.6
2016 / 12,02,4109.1,758.3,550.8
2016 / 12,01,5013.7,850.1,707.6
2017 / 04,03,5783.4,755.3,703.6
2017 / 08,03,6120.1,774.1,768.9
2017 / 12,02,3841.3,618.9,479.0
2018 / 05,03,7089.0,818.1,791.0
2018 / 07,03,6074.8,738.7,741.2
2018 / 11,02,4129.2,602.8,511.2
2019 / 01,03,5233.1,848.8,740.2
2019 / 06,03,6052.9,764.0,789.0
2019 / 08,02,4453.2,542.0,544.4
2020 / 02,03,4510.2,632.0,579.9
2020 / 02,01,4212.7,515.5,572.9
2020 / 09,02,4765.5,549.2,724.6
2021 / 03,01,5940.9,640.8,788.3
2021 / 03,03,6151.9,760.8,758.3
2021 / 04,02,4633.8,546.5,654.1
2021 / 05,03,6586.2,750.1,784.7
2021 / 07,02,4960.9,559.4,667.1
2021 / 08,03,6115.6,695.6,697.4
2021 / 10,01,6054.6,540.4,625.0
2021 / 12,02,4304.1,668.3,614.1
2022 / 02,01,4706.0,544.3,627.8
2022 / 03,01,5307.4,556.8,688.8
2022 / 06,03,6537.7,790.4,813.9
2022 / 08,01,5468.6,522.5,729.3
2022 / 10,03,5503.8,660.8,614.5
2022 / 12,02,4029.7,583.6,514.2
2023 / 06,02,4392.1,481.1,522.7
1990 / 06,02,3485.8,,
1990 / 07,02,4662.2,,
1990 / 11,03,4543.3,,
1991 / 02,03,3783.9,,
1991 / 03,01,4146.0,,
1991 / 07,02,4487.0,,
1991 / 12,01,4609.7,,
1991 / 12,03,4977.5,,
1992 / 02,03,4044.9,,
